iter	RMSE
0	11168.95783
1	10398.37723
2	9691.251871
3	9073.291052
4	8542.49636
5	8066.252522
6	7590.989247
7	7168.827122
8	6801.2364
9	6482.760382
10	6252.389248
11	6006.991322
12	5777.707686
13	5590.439232
14	5417.720451
15	5268.251756
16	5147.748629
17	5052.092695
18	4950.428758
19	4877.995668
20	4796.768234
21	4737.020604
22	4706.217972
23	4666.847723
24	4613.464754
25	4567.33402
26	4530.298105
27	4505.054936
28	4475.917329
29	4450.974683
30	4427.683592
31	4405.117865
32	4384.773516
33	4363.702244
34	4343.237074
35	4325.070976
36	4310.821352
37	4294.154344
38	4282.212153
39	4268.174578
40	4256.392714
41	4248.547999
42	4238.018218
43	4223.857957
44	4215.946389
45	4202.822858
46	4193.774563
47	4188.531726
48	4180.444236
49	4173.440637
50	4164.544602
51	4149.936947
52	4144.652385
53	4137.858962
54	4131.410835
55	4123.839926
56	4109.579869
57	4102.463231
58	4094.43585
59	4089.29834
60	4083.169508
61	4074.735092
62	4073.42594
63	4066.170005
64	4055.531221
65	4051.299502
66	4034.046962
67	4025.577346
68	4017.90493
69	4011.642769
70	4001.963201
71	3992.953129
72	3988.371654
73	3977.893401
74	3971.95515
75	3966.509064
76	3960.687198
77	3958.257089
78	3949.518294
79	3942.40416
80	3941.784829
81	3936.926268
82	3930.196668
83	3922.276284
84	3915.610284
85	3908.606389
86	3903.369707
87	3900.871516
88	3898.43227
89	3889.964741
90	3888.715616
91	3881.738216
92	3878.481539
93	3873.818158
94	3871.382387
95	3864.065787
96	3861.524565
97	3852.096992
98	3845.746167
99	3838.196516
100	3836.058406
101	3824.684619
102	3814.581365
103	3812.625927
104	3810.798851
105	3809.878502
106	3806.376764
107	3801.925764
108	3795.024167
109	3793.345638
110	3789.745791
111	3788.007324
112	3786.318575
113	3781.941373
114	3775.047385
115	3773.495516
116	3767.129644
117	3764.398956
118	3761.806657
119	3751.808415
120	3741.89964
121	3738.009939
122	3730.041209
123	3724.608065
124	3723.709543
125	3721.619863
126	3718.971846
127	3707.204248
128	3698.698434
129	3693.586845
130	3686.790391
131	3679.75352
132	3677.478886
133	3674.275292
134	3666.773053
135	3658.934703
136	3649.061276
137	3643.129163
138	3637.325732
139	3632.126968
140	3627.299086
141	3626.055852
142	3620.243955
143	3610.913096
144	3606.616022
145	3604.750324
146	3603.483374
147	3600.621891
148	3594.05399
149	3589.882438
