iter	Passed	Remaining
0	1	1172
1	1	752
2	1	594
3	2	513
4	2	465
5	2	428
6	2	403
7	3	390
8	3	384
9	3	359
10	3	348
11	4	342
12	4	329
13	4	321
14	4	317
15	5	315
16	5	312
17	5	309
18	5	305
19	6	298
20	6	295
21	6	293
22	6	283
23	6	283
24	7	283
25	7	281
26	7	279
27	8	278
28	8	276
29	8	276
30	8	274
31	9	274
32	9	273
33	9	272
34	9	272
35	10	273
36	10	272
37	10	270
38	11	271
39	11	270
40	11	268
41	11	268
42	12	268
43	12	267
44	12	267
45	12	268
46	13	267
47	13	265
48	13	266
49	13	265
50	14	265
51	14	264
52	14	264
53	15	263
54	15	262
55	15	262
56	15	262
57	16	261
58	16	260
59	16	259
60	16	260
61	17	259
62	17	259
63	17	260
64	18	259
65	18	259
66	18	259
67	18	258
68	19	258
69	19	257
70	19	257
71	19	256
72	20	256
73	20	255
74	20	254
75	20	254
76	21	253
77	21	253
78	21	253
79	22	253
80	22	251
81	22	250
82	22	251
83	23	250
84	23	250
85	23	249
86	23	249
87	24	249
88	24	248
89	24	248
90	24	246
91	24	245
92	25	245
93	25	245
94	25	245
95	26	245
96	26	245
97	26	245
98	26	244
99	27	244
100	27	244
101	27	244
102	27	243
103	28	243
104	28	243
105	28	242
106	29	242
107	29	241
108	29	241
109	29	241
110	30	241
111	30	241
112	30	241
113	31	241
114	31	241
115	31	241
116	31	241
117	32	240
118	32	240
119	32	240
120	33	240
121	33	239
122	33	239
123	33	238
124	34	238
125	34	238
126	34	238
127	34	238
128	35	238
129	35	238
130	35	238
131	36	237
132	36	237
133	36	236
134	36	236
135	37	235
136	37	235
137	37	234
138	37	234
139	38	233
140	38	233
141	38	233
142	38	232
143	39	232
144	39	231
145	39	231
146	39	231
147	40	231
148	40	231
149	40	230
150	40	230
151	41	229
152	41	230
153	41	229
154	42	229
155	42	229
156	42	228
157	42	228
158	43	228
159	43	227
160	43	227
161	43	227
162	44	226
163	44	226
164	44	226
165	44	225
166	45	225
167	45	225
168	45	225
169	46	224
170	46	224
171	46	224
172	46	224
173	47	223
174	47	223
175	47	222
176	47	222
177	48	222
178	48	221
179	48	221
180	48	220
181	49	220
182	49	220
183	49	220
184	49	219
185	50	219
186	50	219
187	50	219
188	51	219
189	51	218
190	51	218
191	51	217
192	52	217
193	52	217
194	52	216
195	52	216
196	52	215
197	53	215
198	53	215
199	53	214
200	53	214
201	54	213
202	54	213
203	54	213
204	54	212
205	55	212
206	55	211
207	55	211
208	55	211
209	56	210
210	56	210
211	56	210
212	56	209
213	57	209
214	57	209
215	57	209
216	57	209
217	58	208
218	58	208
219	58	208
220	59	207
221	59	207
222	59	207
223	59	207
224	60	207
225	60	206
226	60	206
227	60	206
228	61	206
229	61	205
230	61	205
231	61	204
232	62	204
233	62	204
234	62	204
235	63	204
236	63	203
237	63	203
238	63	203
239	64	203
240	64	202
241	64	202
242	64	202
243	65	201
244	65	201
245	65	201
246	66	201
247	66	200
248	66	200
249	66	200
250	67	200
251	67	200
252	67	199
253	67	199
254	68	199
255	68	198
256	68	198
257	68	198
258	69	197
259	69	197
260	69	197
261	69	196
262	70	196
263	70	196
264	70	195
265	70	195
266	71	195
267	71	194
268	71	194
269	71	194
270	72	193
271	72	193
272	72	193
273	72	193
274	73	193
275	73	192
276	73	192
277	74	192
278	74	192
279	74	191
280	74	191
281	75	191
282	75	190
283	75	190
284	75	190
285	76	190
286	76	190
287	76	189
288	77	189
289	77	189
290	77	188
291	77	188
292	77	188
293	78	187
294	78	187
295	78	187
296	79	187
297	79	186
298	79	186
299	79	186
300	79	185
301	80	185
302	80	185
303	80	184
304	80	184
305	81	184
306	81	184
307	81	183
308	82	183
309	82	183
310	82	182
311	82	182
312	83	182
313	83	182
314	83	181
315	83	181
316	84	181
317	84	180
318	84	180
319	84	180
320	85	180
321	85	179
322	85	179
323	85	179
324	86	178
325	86	178
326	86	178
327	86	177
328	87	177
329	87	177
330	87	177
331	87	176
332	88	176
333	88	176
334	88	175
335	88	175
336	89	175
337	89	175
338	89	174
339	89	174
340	90	174
341	90	173
342	90	173
343	90	173
344	91	173
345	91	172
346	91	172
347	91	172
348	92	172
349	92	172
350	92	171
351	93	171
352	93	171
353	93	170
354	93	170
355	94	170
356	94	170
357	94	169
358	94	169
359	95	169
360	95	168
361	95	168
362	95	168
363	96	168
364	96	167
365	96	167
366	96	167
367	97	166
368	97	166
369	97	166
370	98	166
371	98	166
372	98	165
373	98	165
374	99	165
375	99	165
376	99	164
377	99	164
378	100	164
379	100	163
380	100	163
381	100	163
382	101	162
383	101	162
384	101	162
385	101	162
386	102	161
387	102	161
388	102	161
389	103	161
390	103	160
391	103	160
392	103	160
393	103	159
394	104	159
395	104	159
396	104	158
397	104	158
398	105	158
399	105	157
400	105	157
401	105	157
402	106	157
403	106	156
404	106	156
405	106	156
406	107	155
407	107	155
408	107	155
409	107	155
410	108	154
411	108	154
412	108	154
413	108	153
414	108	153
415	109	153
416	109	152
417	109	152
418	109	152
419	110	152
420	110	151
421	110	151
422	110	151
423	111	150
424	111	150
425	111	150
426	111	150
427	112	149
428	112	149
429	112	149
430	112	149
431	113	148
432	113	148
433	113	148
434	113	147
435	114	147
436	114	147
437	114	147
438	114	146
439	115	146
440	115	146
441	115	145
442	115	145
443	116	145
444	116	145
445	116	144
446	116	144
447	116	144
448	117	143
449	117	143
450	117	143
451	117	143
452	118	142
453	118	142
454	118	142
455	118	141
456	119	141
457	119	141
458	119	141
459	119	140
460	120	140
461	120	140
462	120	140
463	121	139
464	121	139
465	121	139
466	121	139
467	122	138
468	122	138
469	122	138
470	122	137
471	123	137
472	123	137
473	123	137
474	123	137
475	124	136
476	124	136
477	124	136
478	124	135
479	125	135
480	125	135
481	125	135
482	125	134
483	126	134
484	126	134
485	126	134
486	127	133
487	127	133
488	127	133
489	127	132
490	128	132
491	128	132
492	128	132
493	128	131
494	129	131
495	129	131
496	129	131
497	129	130
498	130	130
499	130	130
500	130	130
501	131	129
502	131	129
503	131	129
504	131	129
505	132	129
506	132	128
507	132	128
508	132	128
509	133	127
510	133	127
511	133	127
512	133	127
513	134	126
514	134	126
515	134	126
516	134	126
517	135	125
518	135	125
519	135	125
520	135	125
521	136	124
522	136	124
523	136	124
524	137	124
525	137	123
526	137	123
527	137	123
528	138	123
529	138	122
530	138	122
531	138	122
532	139	121
533	139	121
534	139	121
535	139	121
536	140	120
537	140	120
538	140	120
539	140	120
540	141	119
541	141	119
542	141	119
543	142	119
544	142	118
545	142	118
546	142	118
547	143	118
548	143	117
549	143	117
550	144	117
551	144	117
552	144	116
553	144	116
554	145	116
555	145	116
556	145	115
557	145	115
558	146	115
559	146	114
560	146	114
561	146	114
562	147	114
563	147	114
564	147	113
565	148	113
566	148	113
567	148	113
568	148	112
569	149	112
570	149	112
571	149	111
572	149	111
573	150	111
574	150	111
575	150	110
576	151	110
577	151	110
578	151	110
579	151	109
580	152	109
581	152	109
582	152	109
583	152	108
584	153	108
585	153	108
586	153	108
587	153	107
588	154	107
589	154	107
590	154	106
591	154	106
592	155	106
593	155	106
594	155	105
595	155	105
596	156	105
597	156	105
598	156	104
599	156	104
600	157	104
601	157	104
602	157	103
603	157	103
604	158	103
605	158	103
606	158	102
607	159	102
608	159	102
609	159	102
610	159	101
611	160	101
612	160	101
613	160	100
614	160	100
615	161	100
616	161	100
617	161	99
618	161	99
619	162	99
620	162	99
621	162	98
622	162	98
623	162	98
624	163	97
625	163	97
626	163	97
627	164	97
628	164	96
629	164	96
630	164	96
631	165	96
632	165	95
633	165	95
634	165	95
635	166	95
636	166	94
637	166	94
638	166	94
639	167	93
640	167	93
641	167	93
642	167	93
643	168	92
644	168	92
645	168	92
646	168	92
647	168	91
648	169	91
649	169	91
650	169	91
651	169	90
652	170	90
653	170	90
654	170	89
655	170	89
656	171	89
657	171	89
658	171	88
659	171	88
660	172	88
661	172	88
662	172	87
663	172	87
664	173	87
665	173	86
666	173	86
667	173	86
668	174	86
669	174	85
670	174	85
671	174	85
672	175	85
673	175	84
674	175	84
675	176	84
676	176	84
677	176	83
678	176	83
679	177	83
680	177	83
681	177	82
682	177	82
683	178	82
684	178	82
685	178	81
686	178	81
687	179	81
688	179	80
689	179	80
690	179	80
691	179	80
692	180	79
693	180	79
694	180	79
695	181	79
696	181	78
697	181	78
698	181	78
699	181	77
700	182	77
701	182	77
702	182	77
703	183	76
704	183	76
705	183	76
706	183	76
707	183	75
708	184	75
709	184	75
710	184	75
711	185	74
712	185	74
713	185	74
714	185	74
715	186	73
716	186	73
717	186	73
718	186	73
719	187	72
720	187	72
721	187	72
722	188	72
723	188	71
724	188	71
725	188	71
726	189	71
727	189	70
728	189	70
729	190	70
730	190	70
731	190	69
732	190	69
733	191	69
734	191	68
735	191	68
736	191	68
737	192	68
738	192	67
739	192	67
740	192	67
741	193	67
742	193	66
743	193	66
744	194	66
745	194	66
746	194	65
747	194	65
748	195	65
749	195	65
750	195	64
751	195	64
752	196	64
753	196	64
754	196	63
755	197	63
756	197	63
757	197	63
758	197	62
759	198	62
760	198	62
761	198	62
762	198	61
763	199	61
764	199	61
765	199	61
766	199	60
767	200	60
768	200	60
769	200	59
770	201	59
771	201	59
772	201	59
773	201	58
774	201	58
775	202	58
776	202	58
777	202	57
778	202	57
779	203	57
780	203	57
781	203	56
782	203	56
783	204	56
784	204	55
785	204	55
786	204	55
787	205	55
788	205	54
789	205	54
790	205	54
791	206	54
792	206	53
793	206	53
794	206	53
795	207	53
796	207	52
797	207	52
798	207	52
799	208	52
800	208	51
801	208	51
802	208	51
803	209	50
804	209	50
805	209	50
806	209	50
807	210	49
808	210	49
809	210	49
810	210	49
811	211	48
812	211	48
813	211	48
814	211	48
815	212	47
816	212	47
817	212	47
818	212	47
819	213	46
820	213	46
821	213	46
822	213	46
823	214	45
824	214	45
825	214	45
826	214	44
827	215	44
828	215	44
829	215	44
830	215	43
831	216	43
832	216	43
833	216	43
834	217	42
835	217	42
836	217	42
837	217	42
838	218	41
839	218	41
840	218	41
841	218	41
842	218	40
843	219	40
844	219	40
845	219	39
846	219	39
847	220	39
848	220	39
849	220	38
850	220	38
851	221	38
852	221	38
853	221	37
854	222	37
855	222	37
856	222	37
857	222	36
858	223	36
859	223	36
860	223	36
861	223	35
862	224	35
863	224	35
864	224	35
865	224	34
866	225	34
867	225	34
868	225	33
869	225	33
870	226	33
871	226	33
872	226	32
873	226	32
874	227	32
875	227	32
876	227	31
877	227	31
878	228	31
879	228	31
880	228	30
881	228	30
882	229	30
883	229	30
884	229	29
885	229	29
886	230	29
887	230	29
888	230	28
889	230	28
890	231	28
891	231	28
892	231	27
893	231	27
894	232	27
895	232	26
896	232	26
897	232	26
898	233	26
899	233	25
900	233	25
901	233	25
902	234	25
903	234	24
904	234	24
905	235	24
906	235	24
907	235	23
908	235	23
909	236	23
910	236	23
911	236	22
912	236	22
913	237	22
914	237	22
915	237	21
916	237	21
917	238	21
918	238	21
919	238	20
920	239	20
921	239	20
922	239	19
923	239	19
924	239	19
925	240	19
926	240	18
927	240	18
928	240	18
929	241	18
930	241	17
931	241	17
932	242	17
933	242	17
934	242	16
935	242	16
936	243	16
937	243	16
938	243	15
939	243	15
940	244	15
941	244	15
942	244	14
943	244	14
944	245	14
945	245	14
946	245	13
947	245	13
948	246	13
949	246	12
950	246	12
951	246	12
952	246	12
953	247	11
954	247	11
955	247	11
956	247	11
957	248	10
958	248	10
959	248	10
960	248	10
961	249	9
962	249	9
963	249	9
964	249	9
965	249	8
966	250	8
967	250	8
968	250	8
969	250	7
970	251	7
971	251	7
972	251	6
973	251	6
974	252	6
975	252	6
976	252	5
977	252	5
978	252	5
979	253	5
980	253	4
981	253	4
982	253	4
983	254	4
984	254	3
985	254	3
986	254	3
987	255	3
988	255	2
989	255	2
990	255	2
991	256	2
992	256	1
993	256	1
994	256	1
995	257	1
996	257	0
997	257	0
998	257	0
999	258	0
